TEAM_ID,TEAM_ABBREVIATION,CONFERENCE,PRIMARY_COLOR,LOGO_URL
1610612737,ATL,East,#E03A3E,https://cdn.nba.com/logos/nba/1610612737/global/L/logo.svg
1610612738,BOS,East,#007A33,https://cdn.nba.com/logos/nba/1610612738/global/L/logo.svg
1610612751,BKN,East,#000000,https://cdn.nba.com/logos/nba/1610612751/global/L/logo.svg
1610612766,CHA,East,#1D1160,https://cdn.nba.com/logos/nba/1610612766/global/L/logo.svg
1610612741,CHI,East,#CE1141,https://cdn.nba.com/logos/nba/1610612741/global/L/logo.svg
1610612739,CLE,East,#860038,https://cdn.nba.com/logos/nba/1610612739/global/L/logo.svg
1610612742,DAL,West,#00538C,https://cdn.nba.com/logos/nba/1610612742/global/L/logo.svg
1610612743,DEN,West,#0E2240,https://cdn.nba.com/logos/nba/1610612743/global/L/logo.svg
1610612765,DET,East,#C8102E,https://cdn.nba.com/logos/nba/1610612765/global/L/logo.svg
1610612744,GSW,West,#1D428A,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
1610612745,HOU,West,#CE1141,https://cdn.nba.com/logos/nba/1610612745/global/L/logo.svg
1610612754,IND,East,#002D62,https://cdn.nba.com/logos/nba/1610612754/global/L/logo.svg
1610612746,LAC,West,#C8102E,https://cdn.nba.com/logos/nba/1610612746/global/L/logo.svg
1610612747,LAL,West,#552583,https://cdn.nba.com/logos/nba/1610612747/global/L/logo.svg
1610612763,MEM,West,#5D76A9,https://cdn.nba.com/logos/nba/1610612763/global/L/logo.svg
1610612748,MIA,East,#98002E,https://cdn.nba.com/logos/nba/1610612748/global/L/logo.svg
1610612749,MIL,East,#00471B,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
1610612750,MIN,West,#0C2340,https://cdn.nba.com/logos/nba/1610612750/global/L/logo.svg
1610612740,NOP,West,#0C2340,https://cdn.nba.com/logos/nba/1610612740/global/L/logo.svg
1610612752,NYK,East,#006BB6,https://cdn.nba.com/logos/nba/1610612752/global/L/logo.svg
1610612760,OKC,West,#007AC1,https://cdn.nba.com/logos/nba/1610612760/global/L/logo.svg
1610612753,ORL,East,#0077C0,https://cdn.nba.com/logos/nba/1610612753/global/L/logo.svg
1610612755,PHI,East,#006BB6,https://cdn.nba.com/logos/nba/1610612755/global/L/logo.svg
1610612756,PHX,West,#1D1160,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
1610612757,POR,West,#E03A3E,https://cdn.nba.com/logos/nba/1610612757/global/L/logo.svg
1610612758,SAC,West,#5A2D81,https://cdn.nba.com/logos/nba/1610612758/global/L/logo.svg
1610612759,SAS,West,#C4CED4,https://cdn.nba.com/logos/nba/1610612759/global/L/logo.svg
1610612761,TOR,East,#CE1141,https://cdn.nba.com/logos/nba/1610612761/global/L/logo.svg
1610612762,UTA,West,#002B5C,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
1610612764,WAS,East,#002B5C,https://cdn.nba.com/logos/nba/1610612764/global/L/logo.svg
