SEASON,TEAM_ID,TEAM_NAME,GP,W,L,WIN_PCT,NET_RATING,OFF_RATING,DEF_RATING,PACE,EFG_PCT,TEAM_ABBREVIATION,CONFERENCE,PRIMARY_COLOR,LOGO_URL
2021-22,1610612756,Phoenix Suns,82,64,18,0.78,7.5,114.2,106.8,100.26,0.549,PHX,West,#1D1160,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
2021-22,1610612738,Boston Celtics,82,51,31,0.622,7.4,113.6,106.2,97.26,0.542,BOS,East,#007A33,https://cdn.nba.com/logos/nba/1610612738/global/L/logo.svg
2021-22,1610612762,Utah Jazz,82,49,33,0.598,6.2,116.2,110.0,97.5,0.555,UTA,West,#002B5C,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
2021-22,1610612744,Golden State Warriors,82,53,29,0.646,5.5,112.1,106.6,98.74,0.552,GSW,West,#1D428A,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
2021-22,1610612763,Memphis Grizzlies,82,56,26,0.683,5.3,114.3,108.9,100.52,0.522,MEM,West,#5D76A9,https://cdn.nba.com/logos/nba/1610612763/global/L/logo.svg
2021-22,1610612748,Miami Heat,82,53,29,0.646,4.5,113.0,108.4,96.53,0.547,MIA,East,#98002E,https://cdn.nba.com/logos/nba/1610612748/global/L/logo.svg
2021-22,1610612742,Dallas Mavericks,82,52,30,0.634,3.5,112.5,109.1,95.64,0.538,DAL,West,#00538C,https://cdn.nba.com/logos/nba/1610612742/global/L/logo.svg
2021-22,1610612749,Milwaukee Bucks,82,51,31,0.622,3.2,114.3,111.1,100.59,0.546,MIL,East,#00471B,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
2021-22,1610612755,Philadelphia 76ers,82,51,31,0.622,2.8,113.0,110.2,96.71,0.534,PHI,East,#006BB6,https://cdn.nba.com/logos/nba/1610612755/global/L/logo.svg
2021-22,1610612750,Minnesota Timberwolves,82,46,36,0.561,2.7,113.8,111.0,101.47,0.539,MIN,West,#0C2340,https://cdn.nba.com/logos/nba/1610612750/global/L/logo.svg
2021-22,1610612743,Denver Nuggets,82,48,34,0.585,2.3,113.8,111.5,98.41,0.556,DEN,West,#0E2240,https://cdn.nba.com/logos/nba/1610612743/global/L/logo.svg
2021-22,1610612761,Toronto Raptors,82,48,34,0.585,2.2,112.1,109.9,96.63,0.51,TOR,East,#CE1141,https://cdn.nba.com/logos/nba/1610612761/global/L/logo.svg
2021-22,1610612739,Cleveland Cavaliers,82,44,38,0.537,2.1,111.0,108.9,96.83,0.538,CLE,East,#860038,https://cdn.nba.com/logos/nba/1610612739/global/L/logo.svg
2021-22,1610612737,Atlanta Hawks,82,43,39,0.524,1.6,115.4,113.7,98.67,0.543,ATL,East,#E03A3E,https://cdn.nba.com/logos/nba/1610612737/global/L/logo.svg
2021-22,1610612751,Brooklyn Nets,82,44,38,0.537,0.9,113.2,112.3,99.4,0.54,BKN,East,#000000,https://cdn.nba.com/logos/nba/1610612751/global/L/logo.svg
2021-22,1610612766,Charlotte Hornets,82,43,39,0.524,0.5,113.6,113.1,100.52,0.544,CHA,East,#1D1160,https://cdn.nba.com/logos/nba/1610612766/global/L/logo.svg
2021-22,1610612759,San Antonio Spurs,82,34,48,0.415,0.2,111.9,111.7,100.51,0.527,SAS,West,#C4CED4,https://cdn.nba.com/logos/nba/1610612759/global/L/logo.svg
2021-22,1610612746,LA Clippers,82,42,40,0.512,0.0,109.5,109.5,98.51,0.531,LAC,West,#C8102E,https://cdn.nba.com/logos/nba/1610612746/global/L/logo.svg
2021-22,1610612752,New York Knicks,82,37,45,0.451,-0.4,109.7,110.2,96.42,0.513,NYK,East,#006BB6,https://cdn.nba.com/logos/nba/1610612752/global/L/logo.svg
2021-22,1610612741,Chicago Bulls,82,46,36,0.561,-0.5,112.7,113.2,98.76,0.541,CHI,East,#CE1141,https://cdn.nba.com/logos/nba/1610612741/global/L/logo.svg
2021-22,1610612740,New Orleans Pelicans,82,36,46,0.439,-0.8,111.2,112.0,98.02,0.517,NOP,West,#0C2340,https://cdn.nba.com/logos/nba/1610612740/global/L/logo.svg
2021-22,1610612747,Los Angeles Lakers,82,33,49,0.402,-2.9,110.0,112.8,100.47,0.537,LAL,West,#552583,https://cdn.nba.com/logos/nba/1610612747/global/L/logo.svg
2021-22,1610612764,Washington Wizards,82,35,47,0.427,-3.4,110.2,113.6,97.8,0.532,WAS,East,#002B5C,https://cdn.nba.com/logos/nba/1610612764/global/L/logo.svg
2021-22,1610612754,Indiana Pacers,82,25,57,0.305,-3.6,111.9,115.5,98.55,0.531,IND,East,#002D62,https://cdn.nba.com/logos/nba/1610612754/global/L/logo.svg
2021-22,1610612758,Sacramento Kings,82,30,52,0.366,-5.2,109.6,114.8,100.1,0.525,SAC,West,#5A2D81,https://cdn.nba.com/logos/nba/1610612758/global/L/logo.svg
2021-22,1610612765,Detroit Pistons,82,23,59,0.28,-7.7,105.6,113.3,98.81,0.494,DET,East,#C8102E,https://cdn.nba.com/logos/nba/1610612765/global/L/logo.svg
2021-22,1610612760,Oklahoma City Thunder,82,24,58,0.293,-8.0,103.8,111.7,99.39,0.497,OKC,West,#007AC1,https://cdn.nba.com/logos/nba/1610612760/global/L/logo.svg
2021-22,1610612753,Orlando Magic,82,22,60,0.268,-8.1,103.9,112.1,99.71,0.503,ORL,East,#0077C0,https://cdn.nba.com/logos/nba/1610612753/global/L/logo.svg
2021-22,1610612745,Houston Rockets,82,20,62,0.244,-8.3,108.1,116.4,101.16,0.534,HOU,West,#CE1141,https://cdn.nba.com/logos/nba/1610612745/global/L/logo.svg
2021-22,1610612757,Portland Trail Blazers,82,27,55,0.329,-9.1,107.3,116.3,98.74,0.515,POR,West,#E03A3E,https://cdn.nba.com/logos/nba/1610612757/global/L/logo.svg
2022-23,1610612738,Boston Celtics,82,57,25,0.695,6.7,117.3,110.6,99.15,0.566,BOS,East,#007A33,https://cdn.nba.com/logos/nba/1610612738/global/L/logo.svg
2022-23,1610612739,Cleveland Cavaliers,82,51,31,0.622,5.6,115.5,109.9,96.27,0.556,CLE,East,#860038,https://cdn.nba.com/logos/nba/1610612739/global/L/logo.svg
2022-23,1610612755,Philadelphia 76ers,82,54,28,0.659,4.4,117.0,112.7,97.44,0.563,PHI,East,#006BB6,https://cdn.nba.com/logos/nba/1610612755/global/L/logo.svg
2022-23,1610612763,Memphis Grizzlies,82,51,31,0.622,4.0,114.7,110.7,101.5,0.54,MEM,West,#5D76A9,https://cdn.nba.com/logos/nba/1610612763/global/L/logo.svg
2022-23,1610612749,Milwaukee Bucks,82,58,24,0.707,3.4,114.3,110.9,101.45,0.555,MIL,East,#00471B,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
2022-23,1610612743,Denver Nuggets,82,53,29,0.646,3.3,116.8,113.5,98.74,0.573,DEN,West,#0E2240,https://cdn.nba.com/logos/nba/1610612743/global/L/logo.svg
2022-23,1610612752,New York Knicks,82,47,35,0.573,2.8,117.0,114.2,97.75,0.541,NYK,East,#006BB6,https://cdn.nba.com/logos/nba/1610612752/global/L/logo.svg
2022-23,1610612758,Sacramento Kings,82,48,34,0.585,2.6,118.6,116.0,100.99,0.572,SAC,West,#5A2D81,https://cdn.nba.com/logos/nba/1610612758/global/L/logo.svg
2022-23,1610612756,Phoenix Suns,82,45,37,0.549,2.2,114.5,112.3,98.83,0.535,PHX,West,#1D1160,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
2022-23,1610612740,New Orleans Pelicans,82,42,40,0.512,1.9,113.8,112.0,99.58,0.543,NOP,West,#0C2340,https://cdn.nba.com/logos/nba/1610612740/global/L/logo.svg
2022-23,1610612744,Golden State Warriors,82,44,38,0.537,1.7,115.1,113.4,102.54,0.571,GSW,West,#1D428A,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
2022-23,1610612761,Toronto Raptors,82,41,41,0.5,1.5,114.6,113.1,97.85,0.517,TOR,East,#CE1141,https://cdn.nba.com/logos/nba/1610612761/global/L/logo.svg
2022-23,1610612741,Chicago Bulls,82,40,42,0.488,1.3,112.8,111.5,99.18,0.55,CHI,East,#CE1141,https://cdn.nba.com/logos/nba/1610612741/global/L/logo.svg
2022-23,1610612751,Brooklyn Nets,82,45,37,0.549,1.1,114.6,113.5,98.77,0.562,BKN,East,#000000,https://cdn.nba.com/logos/nba/1610612751/global/L/logo.svg
2022-23,1610612760,Oklahoma City Thunder,82,40,42,0.488,1.0,114.2,113.2,101.94,0.531,OKC,West,#007AC1,https://cdn.nba.com/logos/nba/1610612760/global/L/logo.svg
2022-23,1610612747,Los Angeles Lakers,82,43,39,0.524,0.7,113.9,113.2,101.92,0.542,LAL,West,#552583,https://cdn.nba.com/logos/nba/1610612747/global/L/logo.svg
2022-23,1610612746,LA Clippers,82,44,38,0.537,0.5,114.0,113.6,98.84,0.551,LAC,West,#C8102E,https://cdn.nba.com/logos/nba/1610612746/global/L/logo.svg
2022-23,1610612750,Minnesota Timberwolves,82,42,40,0.512,0.2,113.3,113.1,101.55,0.56,MIN,West,#0C2340,https://cdn.nba.com/logos/nba/1610612750/global/L/logo.svg
